asset,free,locked
IDRT,0.00,0.00
CTSI,0.00000000,0.00000000
CHR,0.00000000,0.00000000
BTCUP,0.00000000,0.00000000
BTCDOWN,0.00000000,0.00000000
HNT,0.00000000,0.00000000
JST,0.00000000,0.00000000
FIO,0.00000000,0.00000000
BIDR,0.00,0.00
STMX,0.00000000,0.00000000
MDT,0.00000000,0.00000000
PNT,0.00000000,0.00000000
COMP,0.00000000,0.00000000
IRIS,0.00000000,0.00000000
MKR,0.00000000,0.00000000
SXP,0.00000000,0.00000000
SNX,0.00000000,0.00000000
DAI,0.00000000,0.00000000
ETHUP,0.00000000,0.00000000
ETHDOWN,0.00000000,0.00000000
ADAUP,0.00000000,0.00000000
ADADOWN,0.00000000,0.00000000
LINKUP,0.00000000,0.00000000
LINKDOWN,0.00000000,0.00000000
DOT,0.00000000,0.00000000
RUNE,0.00000000,0.00000000
BNBUP,0.00000000,0.00000000
BNBDOWN,0.00000000,0.00000000
XTZUP,0.00000000,0.00000000
XTZDOWN,0.00000000,0.00000000
AVA,0.00000000,0.00000000
BAL,0.00000000,0.00000000
YFI,0.00000000,0.00000000
SRM,0.00000000,0.00000000
ANT,0.00000000,0.00000000
CRV,0.00000000,0.00000000
SAND,0.00000000,0.00000000
OCEAN,0.00000000,0.00000000
NMR,0.00000000,0.00000000
LUNA,0.00000000,0.00000000
IDEX,0.00000000,0.00000000
RSR,0.00000000,0.00000000
PAXG,0.00000000,0.00000000
WNXM,0.00000000,0.00000000
TRB,0.00000000,0.00000000
EGLD,0.00000000,0.00000000
BZRX,0.00000000,0.00000000
WBTC,0.00000000,0.00000000
KSM,0.00000000,0.00000000
SUSHI,0.00000000,0.00000000
YFII,0.00000000,0.00000000
DIA,0.00000000,0.00000000
BEL,0.00000000,0.00000000
UMA,0.00000000,0.00000000
EOSUP,0.00000000,0.00000000
TRXUP,0.00000000,0.00000000
EOSDOWN,0.00000000,0.00000000
TRXDOWN,0.00000000,0.00000000
XRPUP,0.00000000,0.00000000
XRPDOWN,0.00000000,0.00000000
DOTUP,0.00000000,0.00000000
DOTDOWN,0.00000000,0.00000000
NBS,0.00000000,0.00000000
WING,0.00000000,0.00000000
SWRV,0.00000000,0.00000000
LTCUP,0.00000000,0.00000000
LTCDOWN,0.00000000,0.00000000
CREAM,0.00000000,0.00000000
UNI,0.00000000,0.00000000
OXT,0.00000000,0.00000000
SUN,0.00000000,0.00000000
AVAX,0.00000000,0.00000000
BURGER,0.00000000,0.00000000
BAKE,0.00000000,0.00000000
FLM,0.00000000,0.00000000
SCRT,0.00000000,0.00000000
XVS,0.00000000,0.00000000
CAKE,0.00000000,0.00000000
SPARTA,0.00000000,0.00000000
UNIUP,0.00000000,0.00000000
UNIDOWN,0.00000000,0.00000000
ALPHA,0.00000000,0.00000000
ORN,0.00000000,0.00000000
UTK,0.00000000,0.00000000
NEAR,0.00000000,0.00000000
VIDT,0.00000000,0.00000000
AAVE,0.00000000,0.00000000
FIL,0.00000000,0.00000000
SXPUP,0.00000000,0.00000000
SXPDOWN,0.00000000,0.00000000
INJ,0.00000000,0.00000000
FILDOWN,0.00000000,0.00000000
FILUP,0.00000000,0.00000000
YFIUP,0.00000000,0.00000000
YFIDOWN,0.00000000,0.00000000
CTK,0.00000000,0.00000000
EASY,0.00000000,0.00000000
AUDIO,0.00000000,0.00000000
BCHUP,0.00000000,0.00000000
BCHDOWN,0.00000000,0.00000000
BOT,0.00000000,0.00000000
AXS,0.00000000,0.00000000
AKRO,0.00000000,0.00000000
HARD,0.00000000,0.00000000
KP3R,0.00000000,0.00000000
RENBTC,0.00000000,0.00000000
SLP,0.00000000,0.00000000
STRAX,0.00000000,0.00000000
UNFI,0.00000000,0.00000000
CVP,0.00000000,0.00000000
BCHA,0.00000000,0.00000000
FOR,0.00000000,0.00000000
FRONT,0.00000000,0.00000000
ROSE,0.00000000,0.00000000
MDX,0.00000000,0.00000000
HEGIC,0.00000000,0.00000000
AAVEUP,0.00000000,0.00000000
AAVEDOWN,0.00000000,0.00000000
PROM,0.00000000,0.00000000
BETH,0.00000000,0.00000000
SKL,0.00000000,0.00000000
GLM,0.00000000,0.00000000
SUSD,0.00000000,0.00000000
COVER,0.00000000,0.00000000
GHST,0.00000000,0.00000000
SUSHIUP,0.00000000,0.00000000
SUSHIDOWN,0.00000000,0.00000000
XLMUP,0.00000000,0.00000000
XLMDOWN,0.00000000,0.00000000
DF,0.00000000,0.00000000
JUV,0.00000000,0.00000000
PSG,0.00000000,0.00000000
BVND,0.00,0.00
GRT,0.28766850,0.00000000
CELO,0.00000000,0.00000000
TWT,0.00000000,0.00000000
REEF,0.00000000,0.00000000
OG,0.00000000,0.00000000
ATM,0.00000000,0.00000000
ASR,0.00000000,0.00000000
1INCH,0.00000000,0.00000000
RIF,0.00000000,0.00000000
BTCST,0.00000000,0.00000000
TRU,0.00000000,0.00000000
DEXE,0.00000000,0.00000000
CKB,0.00000000,0.00000000
FIRO,0.00000000,0.00000000
LIT,0.00000000,0.00000000
PROS,0.00000000,0.00000000
VAI,0.00000000,0.00000000
SFP,0.00000000,0.00000000
FXS,0.00000000,0.00000000
DODO,0.00000000,0.00000000
AUCTION,0.00000000,0.00000000
UFT,0.00000000,0.00000000
ACM,0.00000000,0.00000000
PHA,0.00000000,0.00000000
TVK,0.00000000,0.00000000
BADGER,0.00000000,0.00000000
FIS,0.00000000,0.00000000
QI,0.00000000,0.00000000
OM,0.00000000,0.00000000
POND,0.00000000,0.00000000
ALICE,0.00000000,0.00000000
DEGO,0.00000000,0.00000000
BIFI,0.00000000,0.00000000
LINA,0.00000000,0.00000000
PERP,0.00000000,0.00000000
RAMP,0.00000000,0.00000000
SUPER,0.00000000,0.00000000
CFX,0.00000000,0.00000000
TKO,0.00000000,0.00000000
AUTO,0.00000000,0.00000000
EPS,0.00000000,0.00000000
PUNDIX,0.00000000,0.00000000
TLM,0.00000000,0.00000000
1INCHUP,0.00000000,0.00000000
1INCHDOWN,0.00000000,0.00000000
MIR,0.00000000,0.00000000
BAR,0.00000000,0.00000000
FORTH,0.00000000,0.00000000
EZ,0.00000000,0.00000000
AR,0.00000000,0.00000000
ICP,0.00000000,0.00000000
SHIB,0.00,0.00
POLS,0.00000000,0.00000000
LDGRT,6.97570577,0.00000000
MASK,0.00000000,0.00000000
LPT,0.00000000,0.00000000
AGIX,0.00000000,0.00000000
ATA,0.00000000,0.00000000
NU,0.00000000,0.00000000
GTC,0.00000000,0.00000000
KLAY,0.00000000,0.00000000
TORN,0.00000000,0.00000000
KEEP,0.00000000,0.00000000
ERN,0.00000000,0.00000000
BOND,0.00000000,0.00000000
MLN,0.00000000,0.00000000
C98,0.00000000,0.00000000
FLOW,0.00000000,0.00000000
QUICK,0.00000000,0.00000000
RAY,0.00000000,0.00000000
MINA,0.00000000,0.00000000
QNT,0.00000000,0.00000000
CLV,0.00000000,0.00000000
XEC,0.00,0.00
ALPACA,0.00000000,0.00000000
FARM,0.00000000,0.00000000
VGX,0.00000000,0.00000000
MBOX,0.00000000,0.00000000
WAXP,0.00000000,0.00000000
TRIBE,0.00000000,0.00000000
GNO,0.00000000,0.00000000
USDP,0.00000000,0.00000000
DYDX,0.00000000,0.00000000
GALA,0.00000000,0.00000000
ILV,0.00000000,0.00000000
YGG,0.00000000,0.00000000
FIDA,0.00000000,0.00000000
AGLD,0.00000000,0.00000000
BETA,0.00000000,0.00000000
RAD,0.00000000,0.00000000
RARE,0.00000000,0.00000000
SSV,0.00000000,0.00000000
LAZIO,0.00000000,0.00000000
MOVR,0.00000000,0.00000000
CHESS,0.00000000,0.00000000
DAR,0.00000000,0.00000000
ACA,0.00000000,0.00000000
ASTR,0.00000000,0.00000000
BNX,0.00000000,0.00000000
RGT,0.00000000,0.00000000
CITY,0.00000000,0.00000000
ENS,0.00000000,0.00000000
PORTO,0.00000000,0.00000000
JASMY,0.00000000,0.00000000
AMP,0.00000000,0.00000000
PLA,0.00000000,0.00000000
PYR,0.00000000,0.00000000
SANTOS,0.00000000,0.00000000
RNDR,0.00000000,0.00000000
ALCX,0.00000000,0.00000000
MC,0.00000000,0.00000000
ANY,0.00000000,0.00000000
VOXEL,0.00000000,0.00000000
BICO,0.00000000,0.00000000
FLUX,0.00000000,0.00000000
UST,0.00000000,0.00000000
HIGH,0.00000000,0.00000000
OOKI,0.00000000,0.00000000
CVX,0.00000000,0.00000000
PEOPLE,0.00000000,0.00000000
SPELL,0.00000000,0.00000000
JOE,0.00000000,0.00000000
BDOT,0.00000000,0.00000000
GLMR,0.00000000,0.00000000
ACH,0.00000000,0.00000000
IMX,0.00000000,0.00000000
LOKA,0.00000000,0.00000000
BTTC,0.0,0.0
ANC,0.00000000,0.00000000
API3,0.00000000,0.00000000
XNO,0.00000000,0.00000000
WOO,0.00000000,0.00000000
ALPINE,0.00000000,0.00000000
T,0.00000000,0.00000000
NBT,0.00000000,0.00000000
KDA,0.00000000,0.00000000
APE,0.00000000,0.00000000
GMT,0.00000000,0.00000000
MOB,0.00000000,0.00000000
BSW,0.00000000,0.00000000
MULTI,0.00000000,0.00000000
REI,0.00000000,0.00000000
GAL,0.00000000,0.00000000
NEXO,0.00000000,0.00000000
EPX,0.00000000,0.00000000
LDO,0.00000000,0.00000000
USTC,0.00000000,0.00000000
LUNC,0.00000000,0.00000000
OP,0.00000000,0.00000000
LEVER,0.00000000,0.00000000
STG,0.00000000,0.00000000
POLYX,0.00000000,0.00000000
GMX,0.00000000,0.00000000
APT,0.00000000,0.00000000
OSMO,0.00000000,0.00000000
HFT,0.00000000,0.00000000
HOOK,0.00000000,0.00000000
MAGIC,0.00000000,0.00000000
HIFI,0.00000000,0.00000000
RPL,0.00000000,0.00000000
GFT,0.00000000,0.00000000
GNS,0.00000000,0.00000000
SYN,0.00000000,0.00000000
LQTY,0.00000000,0.00000000
ID,0.00000000,0.00000000
ARB,0.00000000,0.00000000
RDNT,0.00000000,0.00000000
EDU,0.00000000,0.00000000
WBETH,0.00000000,0.00000000
SUI,0.00000000,0.00000000
PEPE,0.00,0.00
FLOKI,0.00,0.00
COMBO,0.00000000,0.00000000
NTRN,0.00000000,0.00000000
MAV,0.00000000,0.00000000
FDUSD,0.00000000,0.00000000
PENDLE,0.00000000,0.00000000
ARKM,0.00000000,0.00000000
WLD,0.00000000,0.00000000
CYBER,0.00000000,0.00000000
SEI,0.00000000,0.00000000
AEUR,0.00000000,0.00000000
ORDI,0.00000000,0.00000000
MEME,0.00000000,0.00000000
TIA,0.00000000,0.00000000
BEAMX,0.00000000,0.00000000
VIC,0.00000000,0.00000000
BLUR,0.00000000,0.00000000
VANRY,0.00000000,0.00000000
JTO,0.00000000,0.00000000
ACE,0.00000000,0.00000000
1000SATS,0.00,0.00
BONK,0.00,0.00
AXL,0.00000000,0.00000000
NFP,0.00000000,0.00000000
AI,0.00000000,0.00000000
XAI,0.00000000,0.00000000
MANTA,0.00000000,0.00000000
METIS,0.00000000,0.00000000
ALT,0.00000000,0.00000000
RONIN,0.00000000,0.00000000
JUP,0.00000000,0.00000000
PYTH,0.00000000,0.00000000
DYM,0.00000000,0.00000000
PIXEL,0.00000000,0.00000000
STRK,0.00000000,0.00000000
PORTAL,0.00000000,0.00000000
PDA,0.00000000,0.00000000
WIF,0.00000000,0.00000000
AEVO,0.00000000,0.00000000
ETHFI,0.00000000,0.00000000
BOME,0.00,0.00
ENA,0.00000000,0.00000000
W,0.00000000,0.00000000
SAGA,0.00000000,0.00000000
TAO,0.00000000,0.00000000
TNSR,0.00000000,0.00000000
OMNI,0.00000000,0.00000000
BB,0.00000000,0.00000000
REZ,0.00000000,0.00000000
NOT,0.00,0.00
LISTA,0.00000000,0.00000000
IO,0.00000000,0.00000000
ZK,0.00000000,0.00000000
ZRO,0.00000000,0.00000000
